dataset,strategy,seed,metric,value
mnist,federated_exact_retraining,42,js_divergence_mean,0.0040
mnist,federated_exact_retraining,43,utility_accuracy_test,0.9920
mnist,federated_exact_retraining,43,unlearning_score,0.0059
mnist,federated_exact_retraining,43,forget_confidence_mean_unlearned,0.9973
mnist,federated_exact_retraining,43,forget_entropy_mean_unlearned,0.0070
mnist,federated_exact_retraining,43,mia_accuracy_unlearned,0.4973
mnist,federated_exact_retraining,43,mia_improvement,0.0021
mnist,federated_exact_retraining,43,js_divergence_mean,0.0042
mnist,federated_exact_retraining,44,utility_accuracy_test,0.9919
mnist,federated_exact_retraining,44,unlearning_score,0.0058
mnist,federated_exact_retraining,44,forget_confidence_mean_unlearned,0.9973
mnist,federated_exact_retraining,44,forget_entropy_mean_unlearned,0.0069
mnist,federated_exact_retraining,44,mia_accuracy_unlearned,0.4996
mnist,federated_exact_retraining,44,mia_improvement,0.0005
mnist,federated_exact_retraining,44,js_divergence_mean,0.0042
mnist,federated_exact_retraining,45,utility_accuracy_test,0.9916
mnist,federated_exact_retraining,45,unlearning_score,0.0064
mnist,federated_exact_retraining,45,forget_confidence_mean_unlearned,0.9973
mnist,federated_exact_retraining,45,forget_entropy_mean_unlearned,0.0068
mnist,federated_exact_retraining,45,mia_accuracy_unlearned,0.4982
mnist,federated_exact_retraining,45,mia_improvement,-0.0005
mnist,federated_exact_retraining,45,js_divergence_mean,0.0042
mnist,federated_exact_retraining,46,utility_accuracy_test,0.9918
mnist,federated_exact_retraining,46,unlearning_score,0.0062
mnist,federated_exact_retraining,46,forget_confidence_mean_unlearned,0.9972
mnist,federated_exact_retraining,46,forget_entropy_mean_unlearned,0.0071
mnist,federated_exact_retraining,46,mia_accuracy_unlearned,0.4974
mnist,federated_exact_retraining,46,mia_improvement,0.0045
mnist,federated_exact_retraining,46,js_divergence_mean,0.0044
mnist,federated_exact_retraining,47,utility_accuracy_test,0.9919
mnist,federated_exact_retraining,47,unlearning_score,0.0063
mnist,federated_exact_retraining,47,forget_confidence_mean_unlearned,0.9973
mnist,federated_exact_retraining,47,forget_entropy_mean_unlearned,0.0069
mnist,federated_exact_retraining,47,mia_accuracy_unlearned,0.4999
mnist,federated_exact_retraining,47,mia_improvement,-0.0016
mnist,federated_exact_retraining,47,js_divergence_mean,0.0041
mnist,federated_exact_retraining,48,utility_accuracy_test,0.9919
mnist,federated_exact_retraining,48,unlearning_score,0.0061
mnist,federated_exact_retraining,48,forget_confidence_mean_unlearned,0.9973
mnist,federated_exact_retraining,48,forget_entropy_mean_unlearned,0.0069
mnist,federated_exact_retraining,48,mia_accuracy_unlearned,0.4994
mnist,federated_exact_retraining,48,mia_improvement,-0.0030
mnist,federated_exact_retraining,48,js_divergence_mean,0.0042
mnist,federated_exact_retraining,49,utility_accuracy_test,0.9921
mnist,federated_exact_retraining,49,unlearning_score,0.0060
mnist,federated_exact_retraining,49,forget_confidence_mean_unlearned,0.9973
mnist,federated_exact_retraining,49,forget_entropy_mean_unlearned,0.0068
mnist,federated_exact_retraining,49,mia_accuracy_unlearned,0.4970
mnist,federated_exact_retraining,49,mia_improvement,0.0006
mnist,federated_exact_retraining,49,js_divergence_mean,0.0040
mnist,federated_exact_retraining,50,utility_accuracy_test,0.9919
mnist,federated_exact_retraining,50,unlearning_score,0.0063
mnist,federated_exact_retraining,50,forget_confidence_mean_unlearned,0.9971
mnist,federated_exact_retraining,50,forget_entropy_mean_unlearned,0.0073
mnist,federated_exact_retraining,50,mia_accuracy_unlearned,0.4974
mnist,federated_exact_retraining,50,mia_improvement,-0.0003
mnist,federated_exact_retraining,50,js_divergence_mean,0.0043
mnist,federated_exact_retraining,51,utility_accuracy_test,0.9916
mnist,federated_exact_retraining,51,unlearning_score,0.0062
mnist,federated_exact_retraining,51,forget_confidence_mean_unlearned,0.9972
mnist,federated_exact_retraining,51,forget_entropy_mean_unlearned,0.0072
mnist,federated_exact_retraining,51,mia_accuracy_unlearned,0.4978
mnist,federated_exact_retraining,51,mia_improvement,-0.0010
mnist,federated_exact_retraining,51,js_divergence_mean,0.0044
mnist,sisa,42,utility_accuracy_test,0.9868
mnist,sisa,42,unlearning_score,0.0115
mnist,sisa,42,forget_confidence_mean_unlearned,0.2198
mnist,sisa,42,forget_entropy_mean_unlearned,2.2385
mnist,sisa,42,mia_accuracy_unlearned,0.5018
mnist,sisa,42,mia_improvement,-0.0024
mnist,sisa,42,js_divergence_mean,0.4060
mnist,sisa,42,retrain_fraction,0.2875
mnist,sisa,43,utility_accuracy_test,0.9862
mnist,sisa,43,unlearning_score,0.0126
mnist,sisa,43,forget_confidence_mean_unlearned,0.2198
mnist,sisa,43,forget_entropy_mean_unlearned,2.2385
mnist,sisa,43,mia_accuracy_unlearned,0.5028
mnist,sisa,43,mia_improvement,-0.0042
mnist,sisa,43,js_divergence_mean,0.4063
mnist,sisa,43,retrain_fraction,0.2875
mnist,sisa,44,utility_accuracy_test,0.9868
mnist,sisa,44,unlearning_score,0.0122
mnist,sisa,44,forget_confidence_mean_unlearned,0.2198
mnist,sisa,44,forget_entropy_mean_unlearned,2.2384
mnist,sisa,44,mia_accuracy_unlearned,0.4988
mnist,sisa,44,mia_improvement,0.0026
mnist,sisa,44,js_divergence_mean,0.4061
mnist,sisa,44,retrain_fraction,0.2875
mnist,sisa,45,utility_accuracy_test,0.9862
mnist,sisa,45,unlearning_score,0.0122
mnist,sisa,45,forget_confidence_mean_unlearned,0.2198
mnist,sisa,45,forget_entropy_mean_unlearned,2.2384
mnist,sisa,45,mia_accuracy_unlearned,0.5030
mnist,sisa,45,mia_improvement,-0.0024
mnist,sisa,45,js_divergence_mean,0.4060
mnist,sisa,45,retrain_fraction,0.2875
mnist,sisa,46,utility_accuracy_test,0.9859
mnist,sisa,46,unlearning_score,0.0124
mnist,sisa,46,forget_confidence_mean_unlearned,0.2198
mnist,sisa,46,forget_entropy_mean_unlearned,2.2384
mnist,sisa,46,mia_accuracy_unlearned,0.5052
mnist,sisa,46,mia_improvement,-0.0059
mnist,sisa,46,js_divergence_mean,0.4061
mnist,sisa,46,retrain_fraction,0.2875
mnist,sisa,47,utility_accuracy_test,0.9857
mnist,sisa,47,unlearning_score,0.0129
mnist,sisa,47,forget_confidence_mean_unlearned,0.2199
mnist,sisa,47,forget_entropy_mean_unlearned,2.2384
mnist,sisa,47,mia_accuracy_unlearned,0.5026
mnist,sisa,47,mia_improvement,-0.0049
mnist,sisa,47,js_divergence_mean,0.4061
mnist,sisa,47,retrain_fraction,0.2875
mnist,sisa,48,utility_accuracy_test,0.9865
mnist,sisa,48,unlearning_score,0.0129
