dataset,metric,mean,std,n_seeds
mnist,accuracy,0.9900,0.0002,10
mnist,f1,0.9900,0.0002,10
mnist,precision,0.9900,0.0002,10
mnist,recall,0.9900,0.0002,10
adult,accuracy,0.8322,0.0065,10
adult,f1,0.8250,0.0077,10
adult,precision,0.8255,0.0073,10
adult,recall,0.8322,0.0065,10
